feature,importance
numeric__quali_position,0.13802387
numeric__grid,0.042664353
categorical__driverId_8,0.016821768
numeric__drv_pre_position,0.014367274
categorical__constructorId_2,0.014139596
categorical__constructorId_131,0.013272036
categorical__driverId_13,0.012503191
categorical__driverId_815,0.011657285
categorical__circuit_name_Indianapolis Motor Speedway,0.011316705
numeric__con_pre_position,0.011044268
categorical__circuit_name_Baku City Circuit,0.010802361
categorical__circuitId_11,0.009560146
categorical__circuitId_19,0.009179511
categorical__constructor_name_Ferrari,0.009159832
categorical__driver_name_Heinz-Harald Frentzen,0.008793819
categorical__driver_name_Robert Kubica,0.008612252
categorical__circuitId_73,0.008428059
numeric__con_pre_wins,0.008356485
categorical__driver_name_Nelson Piquet Jr.,0.008305118
categorical__driver_name_Sergio Pérez,0.008015527
categorical__driver_name_Nick Heidfeld,0.0078908
categorical__driver_name_Tiago Monteiro,0.0077846004
categorical__driverId_1,0.007711546
numeric__recent_podium_streak,0.0076840296
categorical__circuit_name_Hockenheimring,0.007680805
categorical__constructorId_15,0.0076785553
categorical__driverId_12,0.0075299595
categorical__driverId_33,0.0074422504
categorical__constructor_name_BMW Sauber,0.0073942896
categorical__circuitId_7,0.0072469544
categorical__constructor_name_Lotus F1,0.0072223735
categorical__driver_name_Lance Stroll,0.007066889
categorical__constructor_name_Sauber,0.007035964
categorical__driver_name_Valtteri Bottas,0.006933187
categorical__driver_name_Alexander Wurz,0.006908677
categorical__constructorId_11,0.0068735434
categorical__circuit_name_Shanghai International Circuit,0.006750722
categorical__constructor_name_Jordan,0.00669327
categorical__driver_name_Vitaly Petrov,0.0066611012
categorical__driver_name_Kimi Räikkönen,0.0066009685
numeric__gap_to_pole_ms,0.0065759653
categorical__circuitId_10,0.0065017045
numeric__career_podium_rate,0.0064722016
categorical__circuitId_15,0.0064207823
categorical__driver_name_Daniel Ricciardo,0.006394166
categorical__constructorId_3,0.006275895
categorical__driverId_30,0.006221535
numeric__drv_pre_wins,0.0062153037
numeric__recent_quali_form,0.0061793877
categorical__driver_name_Jarno Trulli,0.006173723
categorical__circuit_name_Circuit de Nevers Magny-Cours,0.006050484
categorical__driverId_4,0.0059753493
categorical__circuit_name_Fuji Speedway,0.005830737
categorical__driver_name_Nico Hülkenberg,0.005700674
categorical__circuitId_22,0.00569594
categorical__circuit_name_Circuit Gilles Villeneuve,0.0056307972
categorical__driver_name_Max Verstappen,0.005559443
categorical__constructor_name_Honda,0.0055486895
categorical__constructor_name_Force India,0.005538912
categorical__constructorId_4,0.0054634498
categorical__driver_name_Felipe Massa,0.005462314
categorical__circuit_name_Circuit de Spa-Francorchamps,0.005417596
categorical__constructor_name_Renault,0.005226207
numeric__driver_age,0.0052221925
categorical__driver_name_Lewis Hamilton,0.005204641
categorical__constructor_name_Toro Rosso,0.005195755
numeric__round,0.0051838234
categorical__driverId_11,0.005104741
numeric__season_progress,0.0050662947
categorical__driver_name_Kamui Kobayashi,0.004995949
categorical__constructorId_9,0.00498337
categorical__driverId_23,0.0049667144
numeric__lng,0.0049396846
categorical__driverId_15,0.0049225227
numeric__con_pre_points,0.0048116227
categorical__driver_name_Nico Rosberg,0.004809217
categorical__constructorId_5,0.00479957
numeric__career_total_podiums,0.0047878437
categorical__driver_name_Heikki Kovalainen,0.0047779274
numeric__alt,0.004775978
categorical__constructorId_17,0.004695252
categorical__circuit_name_Sepang International Circuit,0.0046889535
numeric__lat,0.004639275
categorical__constructorId_208,0.004629272
categorical__circuit_name_Bahrain International Circuit,0.004621007
categorical__circuit_name_Hungaroring,0.0046188068
categorical__driver_name_Jenson Button,0.0045933183
categorical__driver_name_Fernando Alonso,0.0045455387
categorical__constructor_name_BAR,0.0045238025
categorical__circuitId_2,0.0045168814
categorical__driver_name_Michael Schumacher,0.004516442
categorical__constructor_name_Williams,0.0044993893
categorical__constructor_name_Toyota,0.004490944
numeric__year,0.0044893175
numeric__drv_pre_points,0.0044310396
categorical__driver_name_Rubens Barrichello,0.004376562
numeric__circuit_experience,0.004355329
numeric__career_experience,0.0043517337
categorical__constructor_name_Mercedes,0.0043486976
numeric__best_quali_ms,0.0043412903
categorical__circuit_name_Albert Park Grand Prix Circuit,0.004292476
categorical__constructor_name_Red Bull,0.004254434
categorical__circuit_name_Suzuka Circuit,0.004245976
numeric__reached_q3,0.0042262734
