feature,importance
best_quali_ms,1324
year,1181
season_progress,934
gap_to_pole_ms,817
round,484
lng,470
alt,427
con_pre_points,409
lat,376
career_experience,311
driver_age,247
quali_position,217
recent_quali_form,216
career_podium_rate,193
grid,163
drv_pre_points,159
circuit_name_Marina Bay Street Circuit,126
circuit_name_Circuit de Spa-Francorchamps,108
circuit_name_Circuit of the Americas,107
con_pre_position,107
circuit_experience,105
career_total_podiums,79
drv_pre_position,70
circuit_name_Circuit Gilles Villeneuve,54
circuit_name_Buddh International Circuit,51
con_pre_wins,44
circuit_name_Istanbul Park,42
circuit_dominance_rate,38
circuit_name_Sepang International Circuit,37
reached_q3,35
circuit_podium_count,34
circuit_name_Valencia Street Circuit,34
circuit_name_Autodromo Enzo e Dino Ferrari,33
driver_name_Pastor Maldonado,31
circuit_name_Circuit de Barcelona-Catalunya,30
circuit_name_Autódromo Internacional do Algarve,30
circuit_name_Autodromo Nazionale di Monza,30
circuit_name_Autódromo José Carlos Pace,29
drv_pre_wins,28
driver_name_Paul di Resta,26
driver_name_Jarno Trulli,26
circuit_name_Hockenheimring,26
circuit_name_Silverstone Circuit,24
constructor_name_HRT,24
circuit_name_Red Bull Ring,23
recent_podium_streak,23
driver_name_Giancarlo Fisichella,23
constructor_name_Minardi,21
circuit_name_Shanghai International Circuit,20
circuit_name_Albert Park Grand Prix Circuit,20
circuit_name_Circuit de Monaco,20
driver_name_Rubens Barrichello,19
driver_name_Jaime Alguersuari,17
circuit_name_Circuit de Nevers Magny-Cours,16
constructor_name_Manor Marussia,15
circuit_name_Baku City Circuit,15
driver_name_Kimi Räikkönen,13
constructor_name_Haas F1 Team,12
driver_name_Romain Grosjean,11
driver_name_Stoffel Vandoorne,11
circuit_name_Yas Marina Circuit,10
driver_name_Jenson Button,9
circuit_name_Bahrain International Circuit,9
constructor_name_Caterham,9
driver_name_Timo Glock,9
driver_name_Vitaly Petrov,8
circuit_name_Suzuka Circuit,8
driver_name_Max Verstappen,8
driver_name_Kazuki Nakajima,6
constructor_name_Virgin,6
circuit_name_Nürburgring,5
circuit_name_Circuit Paul Ricard,5
circuit_name_Autódromo Hermanos Rodríguez,5
circuit_name_Fuji Speedway,5
circuit_name_Hungaroring,5
driver_name_Max Chilton,4
constructor_name_Toro Rosso,4
driver_name_Sebastian Vettel,4
constructor_name_Force India,4
driver_name_Charles Leclerc,4
driver_name_George Russell,4
constructor_name_Sauber,4
circuit_name_Korean International Circuit,3
driver_name_Nico Rosberg,3
circuit_name_Sochi Autodrom,3
constructor_name_Honda,3
